Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 3,3,0,2,2,'2-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Arthur Kowara,Taylor Lepard,R,R,Fastball,Strikeout Looking,,,000,0.085282857,0.523734841,
Top 3,3,1,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Caleb Cain-Plante,Taylor Lepard,R,R,Fastball,Swinging Strike,,,000,-0.04802,0.849062898,
Top 3,3,1,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Caleb Cain-Plante,Taylor Lepard,R,R,Fastball,Foul,,,000,0.596277143,0.585283392,
Top 3,3,1,0,2,'0-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Caleb Cain-Plante,Taylor Lepard,R,R,Offspeed,Strikeout Swinging,,,000,-0.847837143,0.066517032,
Top 3,3,2,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Trent Lawson,Taylor Lepard,R,R,Fastball,Ball,,,000,-1.358831429,0.013761131,
Top 3,3,2,1,0,'1-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Trent Lawson,Taylor Lepard,R,R,Fastball,Swinging Strike,,,000,0.507408571,0.339089187,
Top 3,3,2,1,1,'1-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Trent Lawson,Taylor Lepard,R,R,Offspeed,Ball,,,000,-0.714534286,-0.04778742,
Top 3,3,2,2,1,'2-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Trent Lawson,Taylor Lepard,R,R,Fastball,Ball,,,000,-1.158877143,0.541320141,
Top 3,3,2,3,1,'3-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Trent Lawson,Taylor Lepard,R,R,Fastball,Single,Line Drive,Pull,000,0.529625714,0.558905442,
Top 3,3,2,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Fastball,Called Strike,,,100,-0.247974286,0.734758445,
